"","wc2.1_30s_bio_1","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","swc_fr","stress"
"wc2.1_30s_bio_1",1,0.439861752419478,-0.0568355605995907,0.364305615392551,0.990321003207502,0.989449941206615,0.394369846059929,0.998775712351932,0.997398286923029,0.999180235966474,0.999170456091565,0.0163188971150776,0.0984447782097032,-0.331335830097657,0.456832534794217,0.134241948841216,-0.318107090982505,-0.362400427368476,0.0749738611868515,-0.451613392646883,0.441973406786247
"wc2.1_30s_bio_2",0.439861752419478,1,-0.114105783235978,0.157437349948423,0.545268514826801,0.334897874240112,0.897896872897606,0.426682001630996,0.453358095981724,0.44448727532345,0.444500165336599,-0.102295440122603,-0.0201194844846387,-0.285330361338791,0.303709052080007,-0.00520355218231584,-0.262582590432808,-0.375096125928441,0.0325901989683756,-0.383554670467911,0.321157011349118
"wc2.1_30s_bio_3",-0.0568355605995907,-0.114105783235978,1,-0.744983615407338,-0.117309772871155,0.0333042062236144,-0.534880261414356,-0.0614141259043816,-0.0329418483105399,-0.0867367163152853,-0.0309514950314409,0.541586613847311,0.378961484486288,0.645048281925321,-0.584876192845548,0.36854942073384,0.654845989814558,0.475366229422152,0.481175476062345,0.538762122656293,-0.519583926845981
"wc2.1_30s_bio_4",0.364305615392551,0.157437349948423,-0.744983615407338,1,0.398762619541114,0.30563508174682,0.45970794332858,0.369545578555938,0.331882633381955,0.397881769449509,0.330139070410975,-0.431643634048236,-0.296087009074138,-0.509911289900138,0.594296386511351,-0.291137033197871,-0.521400052198141,-0.471679976480715,-0.392337806361487,-0.522110270553817,0.579116605014468
"wc2.1_30s_bio_5",0.990321003207502,0.545268514826801,-0.117309772871155,0.398762619541114,1,0.964256535278876,0.511301320533285,0.986623912735249,0.990281437005613,0.992080399436619,0.989045228309126,-0.0129291135867831,0.0798045146942599,-0.367873366885514,0.485316930559003,0.116074286477087,-0.351842357302133,-0.411823650896036,0.0709840124648634,-0.488931784763679,0.470341666352376
"wc2.1_30s_bio_6",0.989449941206615,0.334897874240112,0.0333042062236144,0.30563508174682,0.964256535278876,1,0.265309642768155,0.988277142051916,0.988964431412528,0.986051429907964,0.990189073814268,0.0866234985995004,0.147951320575655,-0.251350402876277,0.385889778601693,0.183048017347756,-0.23741679034677,-0.30005712953918,0.136466573270206,-0.375257448532051,0.373734661442611
"wc2.1_30s_bio_7",0.394369846059929,0.897896872897606,-0.534880261414356,0.45970794332858,0.511301320533285,0.265309642768155,1,0.384720870009668,0.395800570075619,0.411794548058238,0.387330317536627,-0.327999387520308,-0.189473993796071,-0.523375620957395,0.514361130036837,-0.171329226186828,-0.510234748411291,-0.525325327560109,-0.184320192861637,-0.561999462909805,0.499293511228862
"wc2.1_30s_bio_8",0.998775712351932,0.426682001630996,-0.0614141259043816,0.369545578555938,0.986623912735249,0.988277142051916,0.384720870009668,1,0.994115760294837,0.997817594078,0.997419666210035,0.00223374773019516,0.083447377685407,-0.337862019274252,0.459091264016862,0.118249259730968,-0.326396646273903,-0.35945574028565,0.0498988132450423,-0.45566283788247,0.451424884640532
"wc2.1_30s_bio_9",0.997398286923029,0.453358095981724,-0.0329418483105399,0.331882633381955,0.990281437005613,0.988964431412528,0.395800570075619,0.994115760294837,1,0.995882482472456,0.998156445037223,0.0511284566510347,0.126970158037299,-0.30845061721731,0.430611941468682,0.165472204611941,-0.291529912592081,-0.356682845120806,0.122689443978646,-0.430138295915868,0.411477526773276
"wc2.1_30s_bio_10",0.999180235966474,0.44448727532345,-0.0867367163152853,0.397881769449509,0.992080399436619,0.986051429907964,0.411794548058238,0.997817594078,0.995882482472456,1,0.997288895650682,-0.000807912461126186,0.0861279435132365,-0.349133507153235,0.477365171692983,0.122332140235599,-0.336409272868022,-0.379630491002136,0.0616886779829448,-0.46865352653425,0.459311071647804
"wc2.1_30s_bio_11",0.999170456091565,0.444500165336599,-0.0309514950314409,0.330139070410975,0.989045228309126,0.990189073814268,0.387330317536627,0.997419666210035,0.998156445037223,0.997288895650682,1,0.0312231295798498,0.110100765488115,-0.31962725371022,0.44498464630492,0.146923469222561,-0.305971228347531,-0.353014596096804,0.092067940171669,-0.442098280917728,0.428192432548196
"wc2.1_30s_bio_12",0.0163188971150776,-0.102295440122603,0.541586613847311,-0.431643634048236,-0.0129291135867831,0.0866234985995004,-0.327999387520308,0.00223374773019516,0.0511284566510347,-0.000807912461126186,0.0312231295798498,1,0.914092876423815,0.644440968625526,-0.468949450870686,0.935587859988881,0.714664420502522,0.672695490447404,0.852895771303485,0.622787190971578,-0.722201478105388
"wc2.1_30s_bio_13",0.0984447782097032,-0.0201194844846387,0.378961484486288,-0.296087009074138,0.0798045146942599,0.147951320575655,-0.189473993796071,0.083447377685407,0.126970158037299,0.0861279435132365,0.110100765488115,0.914092876423815,1,0.431357265903329,-0.178319368695564,0.961733791897927,0.508374511014718,0.553250621146131,0.798516586363432,0.468736808883116,-0.589236664710472
"wc2.1_30s_bio_14",-0.331335830097657,-0.285330361338791,0.645048281925321,-0.509911289900138,-0.367873366885514,-0.251350402876277,-0.523375620957395,-0.337862019274252,-0.30845061721731,-0.349133507153235,-0.31962725371022,0.644440968625526,0.431357265903329,1,-0.821885148737,0.410455004099723,0.963180222790085,0.688497545260851,0.519517883471602,0.721039972699476,-0.689090201017926
"wc2.1_30s_bio_15",0.456832534794217,0.303709052080007,-0.584876192845548,0.594296386511351,0.485316930559003,0.385889778601693,0.514361130036837,0.459091264016862,0.430611941468682,0.477365171692983,0.44498464630492,-0.468949450870686,-0.178319368695564,-0.821885148737,1,-0.171442517614088,-0.839921009799329,-0.577058226002746,-0.373290253409369,-0.733883467870149,0.684172035553884
"wc2.1_30s_bio_16",0.134241948841216,-0.00520355218231584,0.36854942073384,-0.291137033197871,0.116074286477087,0.183048017347756,-0.171329226186828,0.118249259730968,0.165472204611941,0.122332140235599,0.146923469222561,0.935587859988881,0.961733791897927,0.410455004099723,-0.171442517614088,1,0.481838287030811,0.529485155066236,0.818655924678162,0.435590446496233,-0.573051938055051
"wc2.1_30s_bio_17",-0.318107090982505,-0.262582590432808,0.654845989814558,-0.521400052198141,-0.351842357302133,-0.23741679034677,-0.510234748411291,-0.326396646273903,-0.291529912592081,-0.336409272868022,-0.305971228347531,0.714664420502522,0.508374511014718,0.963180222790085,-0.839921009799329,0.481838287030811,1,0.717979981021881,0.588868615741762,0.748263040112059,-0.730030776661971
"wc2.1_30s_bio_18",-0.362400427368476,-0.375096125928441,0.475366229422152,-0.471679976480715,-0.411823650896036,-0.30005712953918,-0.525325327560109,-0.35945574028565,-0.356682845120806,-0.379630491002136,-0.353014596096804,0.672695490447404,0.553250621146131,0.688497545260851,-0.577058226002746,0.529485155066236,0.717979981021881,1,0.412974151362914,0.669532490267908,-0.682321267132952
"wc2.1_30s_bio_19",0.0749738611868515,0.0325901989683756,0.481175476062345,-0.392337806361487,0.0709840124648634,0.136466573270206,-0.184320192861637,0.0498988132450423,0.122689443978646,0.0616886779829448,0.092067940171669,0.852895771303485,0.798516586363432,0.519517883471602,-0.373290253409369,0.818655924678162,0.588868615741762,0.412974151362914,1,0.477060093273272,-0.585723093337976
"swc_fr",-0.451613392646883,-0.383554670467911,0.538762122656293,-0.522110270553817,-0.488931784763679,-0.375257448532051,-0.561999462909805,-0.45566283788247,-0.430138295915868,-0.46865352653425,-0.442098280917728,0.622787190971578,0.468736808883116,0.721039972699476,-0.733883467870149,0.435590446496233,0.748263040112059,0.669532490267908,0.477060093273272,1,-0.938048061451422
"stress",0.441973406786247,0.321157011349118,-0.519583926845981,0.579116605014468,0.470341666352376,0.373734661442611,0.499293511228862,0.451424884640532,0.411477526773276,0.459311071647804,0.428192432548196,-0.722201478105388,-0.589236664710472,-0.689090201017926,0.684172035553884,-0.573051938055051,-0.730030776661971,-0.682321267132952,-0.585723093337976,-0.938048061451422,1
