"","PC1","PC2","PC3","PC4","PC5","PC6"
"wc2.1_30s_bio_2",0.16661161270314,-0.442593511241982,0.447037388903173,-0.677008987024714,-0.0210465887974072,-0.313202646157254
"wc2.1_30s_bio_3",-0.33544213583798,-0.155774905845363,0.459935319010766,0.422511058575586,-0.00679184700407513,-0.0488205192313226
"wc2.1_30s_bio_4",0.327662033599221,-0.0198914996217758,-0.47090943261074,-0.16133132144626,-0.557987078710104,0.0375129518622145
"wc2.1_30s_bio_8",0.193450021047411,-0.533958080608317,0.0762827642184049,0.487756786775019,-0.469455173714991,-0.0747942062618867
"wc2.1_30s_bio_13",-0.260168796106424,-0.477974546125102,-0.420923798698954,-0.0220355946351536,0.254835332740924,-0.0638189109922017
"wc2.1_30s_bio_14",-0.391615943125382,0.0203296224983746,0.0313268775079613,-0.114768952390329,-0.46569217507379,-0.0196872612241775
"wc2.1_30s_bio_15",0.369309272772149,-0.192892129633778,-0.224637372526841,0.203075284730855,0.404058587180654,-0.170575280313462
"wc2.1_30s_bio_18",-0.357974894589724,0.03176650276961,-0.293356851673452,0.0320664298851382,-0.0133905808692376,-0.764079668412841
"wc2.1_30s_bio_19",-0.285572566961261,-0.467433629371195,-0.166456400220203,-0.144183749373548,0.114239339173811,0.506693536045861
"swc_fr",-0.384442350191785,0.0935661069876426,-0.136587624297301,-0.149981658556011,-0.0973121107345486,0.135671726726775
