"PC","SDev","VarExplained","CumVarExplained"
"PC1",2.24613384716975,0.504511725940159,0.504511725940159
"PC2",1.3220608167643,0.174784480322349,0.679296206262509
"PC3",0.993531429363363,0.0987104701132807,0.778006676375789
"PC4",0.775198708697345,0.0600933037966031,0.838099980172392
"PC5",0.75168989285257,0.0565037695016708,0.894603749674063
"PC6",0.637942256570881,0.0406970322718748,0.935300781945938
"PC7",0.515075361025297,0.0265302627535341,0.961831044699472
"PC8",0.431051005849401,0.018580496964378,0.98041154166385
"PC9",0.342876851738307,0.0117564535457973,0.992167995209647
"PC10",0.279857191981064,0.00783200479035262,1
