scientific_name;longitude;latitude
Dichotomius agenor;-75.052837;9.163981
Dichotomius agenor;-73.45416;9.534932
Dichotomius agenor;-73.453698;9.576226
Dichotomius agenor;-75.201778;9.77625
Dichotomius agenor;-75.191306;9.894778
Dichotomius agenor;-75.224129;9.749792
Dichotomius agenor;-73.514402;9.491099
Dichotomius agenor;-73.519938;9.527246
Dichotomius agenor;-73.519371;9.518175
Dichotomius agenor;-73.50492;9.480476
Dichotomius agenor;-73.458622;9.555703
Dichotomius agenor;-73.520155;9.608527
Dichotomius agenor;-73.597363;9.714127
Dichotomius agenor;-73.290659;9.542227
Dichotomius agenor;-73.282509;9.550788
Dichotomius agenor;-73.89056;7.25533
Dichotomius agenor;-73.853441;7.335661
Dichotomius agenor;-73.70668;7.30155
Dichotomius agenor;-73.843614;7.3344
Dichotomius agenor;-73.855205;7.286026
Dichotomius agenor;-73.878061;7.264343
Dichotomius agenor;-73.768617;7.348732
Dichotomius agenor;-73.890041;7.276637
Dichotomius agenor;-73.857472;7.261072
Dichotomius agenor;-73.792786;7.408331
Dichotomius agenor;-73.817819;7.269757
Dichotomius agenor;-73.903531;7.261331
Dichotomius agenor;-73.873114;7.246806
Dichotomius agenor;-73.80747;7.437254
Dichotomius agenor;-73.88592;7.301152
Dichotomius agenor;-73.881247;7.235195
Dichotomius agenor;-73.83283;7.27804
Dichotomius agenor;-73.861456;7.409765
Dichotomius agenor;-73.792362;7.316668
Dichotomius agenor;-73.842209;7.415638
Dichotomius agenor;-73.902677;7.337173
Dichotomius agenor;-73.854851;7.392947
Dichotomius agenor;-73.77881;7.315746
Dichotomius agenor;-73.878142;7.370626
Dichotomius agenor;-73.825764;7.30439
Dichotomius agenor;-75.707752;9.394623
Dichotomius agenor;-75.708397;9.384892
Dichotomius agenor;-73.866789;7.385648
Dichotomius agenor;-73.86;7.35523
Dichotomius agenor;-72.553745;11.170382
Dichotomius agenor;-72.542547;11.167587
Dichotomius agenor;-73.869583;7.237861
Dichotomius agenor;-73.886901;7.313248
Dichotomius agenor;-75.37725;3.066667
Dichotomius agenor;-75.388306;3.059472
Dichotomius agenor;-75.387444;3.072528
Dichotomius agenor;-72.629166;11.026492
Dichotomius agenor;-72.602937;11.055688
Dichotomius agenor;-72.754849;10.96904
Dichotomius agenor;-72.671431;11.054458
Dichotomius agenor;-72.691071;11.105056
Dichotomius agenor;-72.615206;11.152926
Dichotomius agenor;-72.649554;11.0886
Dichotomius agenor;-72.569588;11.106687
Dichotomius agenor;-72.518379;11.148629
Dichotomius agenor;-72.731153;11.038991
Dichotomius agenor;-72.618899;11.130697
Dichotomius agenor;-72.577824;11.073491
Dichotomius agenor;-72.642583;11.140864
Dichotomius agenor;-72.610666;11.140443
Dichotomius agenor;-72.587454;11.141472
Dichotomius agenor;-72.527893;11.157772
Dichotomius agenor;-75.217439;8.030222
Dichotomius agenor;-74.214111;6.101417
Dichotomius agenor;-73.035183;11.075961
Dichotomius agenor;-72.957722;11.015336
Dichotomius agenor;-72.952203;11.023222
Dichotomius agenor;-73.009831;11.120289
Dichotomius agenor;-72.910531;11.143175
Dichotomius agenor;-72.917575;11.14905
Dichotomius agenor;-75.659164;5.192778
Dichotomius agenor;-71.22222;8.553889
Dichotomius agenor;-73.94556;9.978333
Dichotomius agenor;-75.171061;10.747461
Dichotomius agenor;-75.145936;10.74705
Dichotomius agenor;-75.14995;10.737525
Dichotomius agenor;-75.061311;10.692897
Dichotomius agenor;-75.155103;10.765344
Dichotomius agenor;-75.170533;10.765336
Dichotomius agenor;-73.303611;9.564167
Dichotomius agenor;-73.262806;9.602861
Dichotomius agenor;-73.282889;9.595139
Dichotomius agenor;-75.16167;10.274445
Dichotomius agenor;-79.55;8.95
Dichotomius agenor;-71.35833;12.193611
Dichotomius agenor;-74.93937;6.511117
Dichotomius agenor;-74.88624;6.496015
Dichotomius agenor;-74.90974;6.502152
Dichotomius agenor;-73.387665;10.36245
Dichotomius agenor;-73.0885;10.514667
Dichotomius agenor;-75.156944;3.230556
Dichotomius agenor;-76.103584;8.510305
Dichotomius agenor;-75.91111;8.739445
Dichotomius agenor;-68;10
Dichotomius agenor;-72.97525;10.58366
Dichotomius agenor;-71.7104;7.6622
Dichotomius agenor;-74.72649;5.36681
Dichotomius agenor;-74.17694;11.173889
Dichotomius agenor;-74.14139;11.138056
Dichotomius agenor;-75.172524;8.589245
Dichotomius agenor;-73.31056;10.575
Dichotomius agenor;-74.63007;6.23794
Dichotomius agenor;-71.2;8.5595
Dichotomius agenor;-74.640278;6.543889
Dichotomius agenor;-75.346128;3.902992
Dichotomius agenor;-74.104164;11.294723
Dichotomius agenor;-74.777504;5.093889
Dichotomius agenor;-75.767784;5.093889
Dichotomius agenor;-74.88113;9.74513
Dichotomius agenor;-74.866667;4.133333
Dichotomius agenor;-61.289584;10.692397
Dichotomius agenor;-74.458993;4.793568
Dichotomius agenor;-61.4185;10.713678
Dichotomius agenor;-61.4048;10.63
Dichotomius agenor;-61.39;10.64
Dichotomius agenor;-61.36;10.65
Dichotomius agenor;-72.98633;10.494716
Dichotomius agenor;-71.3356;8.4923
