scientificName;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19
Dichotomius agenor;-75,052,837;916,398,099,999,976;27,783,332,824,707;100,499,992,370,605;78,515,625;499,242,057,800,293;345,999,984,741,211;217,999,992,370,605;127,999,992,370,605;273,333,320,617,676;281,833,343,505,859;28,466,667,175,293;272,333,335,876,465;1311;186;15;583,161,354,064,941;505;58;154;437
Dichotomius agenor;-7,345,416;953,493,199,999,997;284,916,667,938,232;110,833,339,691,162;79,736,213,684,082;579,511,299,133,301;357,999,992,370,605;218,999,996,185,303;138,999,996,185,303;27,75;28,533,332,824,707;291,833,324,432,373;27,75;1582;240;15;603,888,816,833,496;631;79;251;631
Dichotomius agenor;-73,453,698;957,622,599,999,998;285,041,656,494,141;110,916,662,216,187;792,261,810,302,734;621,383,628,845,215;359,000,015,258,789;218,999,996,185,303;140,000,019,073,486;276,999,988,555,908;285,499,992,370,605;29,216,667,175,293;276,999,988,555,908;1463;201;20;531,072,578,430,176;576;108;229;576
Dichotomius agenor;-75,201,778;977,625,000,000,005;260,874,996,185,303;103,083,333,969,116;775,062,713,623,047;471,035,919,189,453;327,999,992,370,605;19,5;132,999,992,370,605;25,783,332,824,707;262,999,992,370,605;266,000,003,814,697;25,466,667,175,293;1556;217;24;558,576,583,862,305;622;85;327;433
Dichotomius agenor;-75,191,306;989,477,800,000,012;250,375,003,814,697;992,500,019,073,486;787,698,516,845,703;454,834,899,902,344;312,999,992,370,605;187,000,007,629,395;125,999,984,741,211;24,783,332,824,707;251,166,667,938,232;255,166,664,123,535;244,500,007,629,395;1642;272;17;629,841,156,005,859;689;66;359;488
Dichotomius agenor;-75,224,129;974,979,199,999,997;260,041,656,494,141;102,083,330,154,419;773,358,535,766,602;476,949,729,919,434;327,000,007,629,395;19,5;132,000,007,629,395;257,000,007,629,395;262,000,007,629,395;265,166,664,123,535;253,833,332,061,768;1588;264;15;625,685,997,009,277;674;72;313;467
Dichotomius agenor;-73,514,402;949,109,900,000,001;283,833,332,061,768;109,166,669,845,581;785,371,627,807,617;594,800,834,655,762;357,000,007,629,395;217,999,992,370,605;139,000,015,258,789;279,166,660,308,838;283,833,332,061,768;291,166,667,938,232;276,333,332,061,768;1747;290;12;595,667,686,462,402;659;83;261;506
Dichotomius agenor;-73,519,938;952,724,600,000,003;285,416,660,308,838;110,166,664,123,535;792,565,841,674,805;606,718,063,354,492;359,000,015,258,789;22;139,000,015,258,789;27,783,332,824,707;285,833,320,617,676;292,833,347,320,557;27,783,332,824,707;1558;252;14;603,868,560,791,016;636;87;226;493
Dichotomius agenor;-73,519,371;951,817,499,999,998;285,249,996,185,303;11;78,571,418,762,207;614,040,603,637,695;359,000,015,258,789;218,999,996,185,303;140,000,019,073,486;27,75;285,666,656,494,141;292,666,664,123,535;27,75;1619;308;14;63,673,698,425,293;686;81;238;686
Dichotomius agenor;-7,350,492;948,047,600,000,001;283,291,664,123,535;10,908,332,824,707;779,166,641,235,352;589,089,431,762,695;357,000,007,629,395;217,000,007,629,395;14;276,000,003,814,697;283,500,003,814,697;290,666,656,494,141;276,000,003,814,697;1654;258;14;592,508,544,921,875;653;78;263;653
Dichotomius agenor;-73,458,622;955,570,299,999,997;285,541,667,938,232;11,125;794,642,791,748,047;585,219,345,092,773;359,000,015,258,789;218,999,996,185,303;140,000,019,073,486;277,999,992,370,605;290,666,675,567,627;292,333,335,876,465;277,999,992,370,605;1392;239;24;567,553,176,879,883;519;103;213;519
Dichotomius agenor;-73,520,155;960,852,700,000,007;285,874,996,185,303;110,916,662,216,187;79,226,188,659,668;624,909,248,352,051;36;22;14;280,833,320,617,676;286,499,996,185,303;293,500,003,814,697;277,999,992,370,605;1470;258;18;58,428,783,416,748;619;93;238;600
Dichotomius agenor;-73,597,363;971,412,699,999,994;285,416,660,308,838;108,166,666,030,884;783,816,452,026,367;679,850,921,630,859;36;222,000,007,629,395;137,999,992,370,605;27,716,667,175,293;285,833,339,691,162;293,666,667,938,232;276,833,324,432,373;1482;233;14;584,762,840,270,996;561;81;294;414
Dichotomius agenor;-73,290,659;954,222,700,000,014;27,470,832,824,707;110,083,332,061,768;803,527,908,325,195;562,243,309,020,996;34,5;207,999,992,370,605;137,000,007,629,395;267,666,664,123,535;273,666,667,938,232;280,499,992,370,605;267,333,335,876,465;1534;262;23;580,841,369,628,906;647;93;269;507
Dichotomius agenor;-73,282,509;955,078,799,999,995;270,708,332,061,768;109,583,339,691,162;805,759,811,401,367;539,974,098,205,566;34;203,999,996,185,303;136,000,003,814,697;263,833,332,061,768;273,999,996,185,303;276,166,667,938,232;263,500,003,814,697;1499;269;16;577,935,371,398,926;649;108;235;548
Dichotomius agenor;-7,389,056;725,533,000,000,009;280,666,675,567,627;11,25;885,826,873,779,297;343,995,895,385,742;345,999,984,741,211;218,999,996,185,303;126,999,988,555,908;276,000,003,814,697;28,216,667,175,293;284,833,335,876,465;276,000,003,814,697;2897;462;41;518,721,885,681,152;1128;219;536;1128
Dichotomius agenor;-73,853,441;733,566,099,999,996;28,095,832,824,707;112,749,996,185,303;880,859,298,706,055;33,740,894,317,627;347,000,007,629,395;218,999,996,185,303;128,000,011,444,092;276,499,996,185,303;281,833,324,432,373;28,5;276,499,996,185,303;3084;449;42;538,953,590,393,066;1198;205;540;1198
