"scientificName";"decimalLongitude";"decimalLatitude";"wc2.1_30s_bio_1";"wc2.1_30s_bio_2";"wc2.1_30s_bio_3";"wc2.1_30s_bio_4";"wc2.1_30s_bio_5";"wc2.1_30s_bio_6";"wc2.1_30s_bio_7";"wc2.1_30s_bio_8";"wc2.1_30s_bio_9";"wc2.1_30s_bio_10";"wc2.1_30s_bio_11";"wc2.1_30s_bio_12";"wc2.1_30s_bio_13";"wc2.1_30s_bio_14";"wc2.1_30s_bio_15";"wc2.1_30s_bio_16";"wc2.1_30s_bio_17";"wc2.1_30s_bio_18";"wc2.1_30s_bio_19";"swc_fr";"stress"
"Dichotomius agenor";-75,052837;9,16398099999976;27,783332824707;10,0499992370605;78,515625;49,9242057800293;34,5999984741211;21,7999992370605;12,7999992370605;27,3333320617676;28,1833343505859;28,466667175293;27,2333335876465;1311;186;15;58,3161354064941;505;58;154;437;55,000431060791;-56
"Dichotomius agenor";-73,45416;9,53493199999997;28,4916667938232;11,0833339691162;79,736213684082;57,9511299133301;35,7999992370605;21,8999996185303;13,8999996185303;27,75;28,533332824707;29,1833324432373;27,75;1582;240;15;60,3888816833496;631;79;251;631;69;-69
"Dichotomius agenor";-73,453698;9,57622599999998;28,5041656494141;11,0916662216187;79,2261810302734;62,1383628845215;35,9000015258789;21,8999996185303;14,0000019073486;27,6999988555908;28,5499992370605;29,216667175293;27,6999988555908;1463;201;20;53,1072578430176;576;108;229;576;69;-68
"Dichotomius agenor";-75,201778;9,77625000000005;26,0874996185303;10,3083333969116;77,5062713623047;47,1035919189453;32,7999992370605;19,5;13,2999992370605;25,783332824707;26,2999992370605;26,6000003814697;25,466667175293;1556;217;24;55,8576583862305;622;85;327;433;67,0002212524414;-65,0002212524414
"Dichotomius agenor";-75,191306;9,89477800000012;25,0375003814697;9,92500019073486;78,7698516845703;45,4834899902344;31,2999992370605;18,7000007629395;12,5999984741211;24,783332824707;25,1166667938232;25,5166664123535;24,4500007629395;1642;272;17;62,9841156005859;689;66;359;488;69;-69
"Dichotomius agenor";-75,224129;9,74979199999997;26,0041656494141;10,2083330154419;77,3358535766602;47,6949729919434;32,7000007629395;19,5;13,2000007629395;25,7000007629395;26,2000007629395;26,5166664123535;25,3833332061768;1588;264;15;62,5685997009277;674;72;313;467;66,9995651245117;-64,9995651245117
"Dichotomius agenor";-73,514402;9,49109900000001;28,3833332061768;10,9166669845581;78,5371627807617;59,4800834655762;35,7000007629395;21,7999992370605;13,9000015258789;27,9166660308838;28,3833332061768;29,1166667938232;27,6333332061768;1747;290;12;59,5667686462402;659;83;261;506;69;-69
"Dichotomius agenor";-73,519938;9,52724600000003;28,5416660308838;11,0166664123535;79,2565841674805;60,6718063354492;35,9000015258789;22;13,9000015258789;27,783332824707;28,5833320617676;29,2833347320557;27,783332824707;1558;252;14;60,3868560791016;636;87;226;493;69;-68
"Dichotomius agenor";-73,519371;9,51817499999998;28,5249996185303;11;78,571418762207;61,4040603637695;35,9000015258789;21,8999996185303;14,0000019073486;27,75;28,5666656494141;29,2666664123535;27,75;1619;308;14;63,673698425293;686;81;238;686;69;-68
"Dichotomius agenor";-73,50492;9,48047600000001;28,3291664123535;10,908332824707;77,9166641235352;58,9089431762695;35,7000007629395;21,7000007629395;14;27,6000003814697;28,3500003814697;29,0666656494141;27,6000003814697;1654;258;14;59,2508544921875;653;78;263;653;69;-69,0004348754883
